date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_17_28    441,-1044,527,361,494,648,525,2,378,193,2,2,2,776,540,2,698,822,0.0,1,0
2014_11_11_15_17_28    387,-970,505,362,501,651,524,2,387,198,2,2,3,735,532,2,699,825,0.0,1,0
2014_11_11_15_17_28    431,-996,527,356,452,622,530,2,390,173,1,1,3,720,465,2,694,826,0.0,1,0
2014_11_11_15_17_28    397,-981,523,354,424,622,506,1,367,154,1,3,1,696,454,0,694,823,0.0,1,0
2014_11_11_15_17_28    369,-1013,496,349,328,619,516,2,383,140,1,1,2,694,469,1,694,825,0.0,1,0
2014_11_11_15_17_28    376,-968,505,361,420,642,542,2,398,219,2,1,2,701,499,2,696,818,0.0,1,0
2014_11_11_15_17_28    412,-1019,499,366,478,650,540,0,398,235,3,1,1,702,503,1,695,816,0.0,1,0
2014_11_11_15_17_28    403,-989,503,367,514,635,542,2,397,236,2,1,1,741,565,4,698,813,0.0,1,0
2014_11_11_15_17_29    443,-1064,515,371,530,638,571,2,396,234,321,2,1,758,586,159,696,816,0.0,1,0
2014_11_11_15_17_29    409,-997,527,372,524,637,576,2,414,242,345,1,2,784,607,104,698,815,0.0,1,0
2014_11_11_15_17_29    422,-1025,537,378,580,655,673,0,452,302,444,2,2,792,682,193,699,814,0.0,1,0
2014_11_11_15_17_29    374,-930,497,376,583,656,673,1,440,332,387,2,2,821,715,242,692,814,0.0,1,0
2014_11_11_15_17_29    380,-996,497,374,586,656,674,1,444,333,408,1,2,815,710,244,700,812,0.0,1,0
2014_11_11_15_17_29    374,-995,475,366,568,684,675,2,438,336,414,2,2,806,727,257,712,817,0.0,1,0
2014_11_11_15_17_29    348,-976,508,376,557,684,634,0,439,252,400,1,2,795,712,231,718,815,0.0,1,0
2014_11_11_15_17_29    370,-993,493,369,519,664,566,1,417,206,356,2,1,744,571,184,721,811,0.0,1,0
2014_11_11_15_17_29    371,-945,508,369,513,652,611,2,392,168,323,1,1,726,555,2,715,813,0.0,2,0
2014_11_11_15_17_29    406,-1017,504,369,477,618,544,2,377,160,2,4,2,715,466,1,715,819,0.0,2,0
2014_11_11_15_17_29    392,-1017,541,368,469,610,543,2,372,168,2,3,2,716,432,1,719,806,0.0,1,0
2014_11_11_15_17_29    387,-997,547,371,462,613,550,1,374,144,2,3,1,706,516,2,680,805,0.0,1,0
2014_11_11_15_17_29    412,-980,516,387,503,630,561,2,380,158,2,1,1,725,508,2,703,822,0.0,1,0
2014_11_11_15_17_29    447,-991,527,387,505,633,603,2,386,174,3,3,2,723,534,4,708,823,0.0,1,0
2014_11_11_15_17_29    414,-1002,496,374,516,629,562,1,381,161,2,1,1,723,515,2,706,825,0.0,1,0
2014_11_11_15_17_29    416,-1009,504,372,503,618,556,2,378,132,1,2,1,727,540,3,707,812,0.0,1,0
2014_11_11_15_17_29    416,-1032,518,375,447,616,558,1,375,148,2,2,2,722,540,1,712,825,0.0,1,0
2014_11_11_15_17_29    423,-1049,510,372,483,623,557,1,381,138,1,2,1,721,560,3,706,827,0.0,1,0
2014_11_11_15_17_29    415,-988,498,374,480,621,554,1,384,150,0,1,3,723,562,23,709,828,0.0,1,0
2014_11_11_15_17_29    411,-1002,508,373,487,631,595,2,381,154,2,2,1,705,553,2,730,829,0.0,1,0
2014_11_11_15_17_30    411,-1002,508,373,487,631,595,2,381,154,2,2,1,705,553,2,730,829,0.0,1,0
2014_11_11_15_17_30    415,-985,479,371,497,633,581,2,381,131,2,1,1,708,544,1,720,815,0.0,1,0
2014_11_11_15_17_30    427,-1036,471,372,503,627,597,1,382,141,1,1,2,702,548,4,700,812,0.0,1,0
2014_11_11_15_17_30    394,-1025,499,372,515,621,588,1,388,151,1,2,1,696,544,2,710,809,0.0,1,0
2014_11_11_15_17_30    392,-1004,495,369,516,620,550,4,392,161,3,4,2,725,551,2,731,807,0.0,1,0
2014_11_11_15_17_30    403,-994,507,372,527,624,548,2,395,153,2,2,2,733,561,2,733,805,0.0,1,0
2014_11_11_15_17_30    401,-996,496,371,522,620,558,1,395,135,2,2,2,748,553,2,734,804,0.0,1,0
2014_11_11_15_17_30    422,-1047,496,376,526,634,583,1,396,127,1,2,1,749,561,8,721,802,0.0,1,0
2014_11_11_15_17_30    385,-1002,499,373,508,645,679,3,415,131,2,3,2,771,571,16,752,803,0.0,1,0
2014_11_11_15_17_30    406,-1023,483,373,539,640,683,2,400,143,2,1,2,760,582,113,756,805,0.0,1,0
2014_11_11_15_17_30    383,-969,470,377,528,640,688,1,402,164,2,1,1,751,587,134,751,803,0.0,1,0
2014_11_11_15_17_30    375,-952,470,371,535,643,689,1,401,157,2,2,1,763,584,133,751,808,0.0,1,0
2014_11_11_15_17_30    388,-952,440,374,549,643,688,2,397,156,2,1,2,770,578,122,753,806,0.0,1,0
2014_11_11_15_17_30    422,-1024,473,371,572,641,688,2,415,148,2,1,2,757,579,126,757,806,0.0,1,0
2014_11_11_15_17_30    428,-1032,488,371,576,641,689,2,394,198,2,2,2,763,575,127,752,806,0.0,1,0
2014_11_11_15_17_30    432,-1037,521,378,596,641,692,1,398,206,2,2,1,761,554,136,739,811,0.0,1,0
2014_11_11_15_17_30    419,-948,529,375,576,641,688,2,397,206,1,3,1,758,546,125,743,812,0.0,1,0
2014_11_11_15_17_30    419,-1033,526,373,567,642,692,1,395,242,2,1,1,765,553,144,756,813,0.0,1,0
2014_11_11_15_17_30    422,-993,499,373,561,644,692,3,395,253,2,2,0,756,544,141,731,814,1.0,1,1
2014_11_11_15_17_30    414,-1026,519,372,559,647,693,2,420,263,2,2,2,768,539,146,768,815,1.0,1,1
2014_11_11_15_17_31    408,-986,471,367,554,647,694,1,414,261,2,0,2,782,543,150,766,817,1.0,1,1
2014_11_11_15_17_31    412,-970,459,376,551,661,695,2,417,244,2,2,1,785,549,156,771,814,1.0,1,1
2014_11_11_15_17_31    438,-941,480,368,543,646,696,2,422,206,1,2,2,784,550,160,767,814,1.0,1,1
2014_11_11_15_17_31    438,-941,480,368,543,646,696,2,422,206,1,2,2,784,550,160,767,814,1.0,1,1
2014_11_11_15_17_31    432,-946,492,365,511,633,697,1,417,169,2,0,2,780,523,125,759,816,1.0,1,1
2014_11_11_15_17_31    440,-978,476,381,532,627,662,1,319,214,2,3,3,784,523,107,767,818,1.0,1,1
2014_11_11_15_17_31    446,-1030,503,377,540,628,656,2,344,226,1,2,2,781,519,113,767,822,1.0,1,1
2014_11_11_15_17_31    467,-1012,519,378,542,628,648,2,406,259,2,2,2,782,549,110,768,822,1.0,1,1
2014_11_11_15_17_31    470,-993,497,365,468,626,649,2,407,224,0,2,2,780,554,118,769,822,1.0,1,1
2014_11_11_15_17_31    473,-976,497,366,540,637,627,2,401,251,1,2,2,779,539,119,769,822,1.0,1,1
2014_11_11_15_17_31    456,-993,464,371,561,639,645,2,403,237,355,2,2,780,551,116,772,823,1.0,1,1
2014_11_11_15_17_31    444,-980,480,375,595,639,650,2,398,285,355,2,2,781,539,110,770,824,1.0,1,1
2014_11_11_15_17_31    447,-954,488,375,590,632,661,1,399,312,358,2,1,784,554,116,762,825,1.0,1,1
2014_11_11_15_17_31    472,-989,504,397,580,638,674,1,399,295,350,1,2,783,573,131,758,824,1.0,1,1
2014_11_11_15_17_31    481,-977,511,400,588,640,671,1,401,322,351,2,3,784,569,121,762,827,1.0,1,1
2014_11_11_15_17_31    456,-947,488,400,590,640,667,1,400,317,360,0,2,783,593,122,762,827,1.0,2,0
2014_11_11_15_17_31    470,-953,487,399,595,640,670,2,405,315,357,2,1,784,597,126,764,828,1.0,2,0
