date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_15_33    344,-1026,567,366,467,660,488,2,82,65,2,2,2,808,463,2,296,536,0.0,4,0
2014_11_11_15_15_33    323,-1041,560,367,466,659,494,1,89,63,1,2,1,807,518,3,317,530,0.0,4,0
2014_11_11_15_15_33    320,-971,575,367,460,660,493,2,96,71,1,2,2,806,517,2,330,528,0.0,4,0
2014_11_11_15_15_33    343,-992,574,366,434,655,494,1,121,77,2,2,1,804,473,0,332,526,0.0,4,0
2014_11_11_15_15_33    343,-992,574,366,434,655,494,1,121,77,2,2,1,804,473,0,332,526,0.0,4,0
2014_11_11_15_15_33    336,-991,560,385,443,658,494,2,131,73,2,1,2,803,509,2,344,527,0.0,4,0
2014_11_11_15_15_33    336,-991,560,385,443,658,494,2,131,73,2,1,2,803,509,2,344,527,0.0,4,0
2014_11_11_15_15_33    352,-1029,543,366,472,659,496,2,147,75,3,2,1,805,520,1,356,528,0.0,4,0
2014_11_11_15_15_33    352,-1029,543,366,472,659,496,2,147,75,3,2,1,805,520,1,356,528,0.0,4,0
2014_11_11_15_15_33    352,-985,543,365,464,658,495,2,146,75,2,4,2,802,529,2,338,526,0.0,4,0
2014_11_11_15_15_33    344,-983,566,368,473,663,501,1,155,100,23,4,1,804,540,2,343,535,0.0,4,0
2014_11_11_15_15_33    334,-964,543,368,479,664,499,2,156,94,28,1,2,805,540,1,347,535,0.0,4,0
2014_11_11_15_15_33    359,-1012,556,367,478,664,503,2,162,98,1,2,2,804,550,1,352,536,0.0,4,0
2014_11_11_15_15_33    368,-1007,566,368,478,663,501,3,163,109,29,3,2,804,541,2,350,536,0.0,4,0
2014_11_11_15_15_33    368,-1047,553,372,490,665,500,1,160,122,28,1,2,805,551,1,356,538,0.0,1,0
2014_11_11_15_15_33    356,-968,560,372,486,666,502,1,164,114,30,2,2,806,555,2,358,538,0.0,1,0
2014_11_11_15_15_33    356,-968,560,372,486,666,502,1,164,114,30,2,2,806,555,2,358,538,0.0,1,0
2014_11_11_15_15_33    364,-1034,529,372,489,668,517,2,167,116,27,2,2,806,558,2,362,540,0.0,1,0
2014_11_11_15_15_33    360,-1032,564,374,489,672,515,2,175,109,28,2,2,806,558,2,426,541,0.0,1,0
2014_11_11_15_15_33    353,-1025,541,373,488,671,514,2,182,104,31,1,1,803,566,2,454,540,0.0,1,0
2014_11_11_15_15_33    352,-993,552,373,489,670,514,1,182,105,2,2,1,803,555,2,428,537,0.0,1,0
2014_11_11_15_15_33    352,-993,560,374,492,671,513,1,179,109,2,2,1,804,566,1,434,541,0.0,1,0
2014_11_11_15_15_33    347,-977,559,372,490,671,512,2,179,108,2,2,2,803,561,2,431,540,0.0,1,0
2014_11_11_15_15_33    390,-964,560,372,489,671,506,2,179,106,1,2,1,801,571,1,423,540,0.0,1,0
2014_11_11_15_15_33    359,-1008,550,371,490,671,505,2,178,108,1,2,2,795,572,1,331,505,0.0,1,0
2014_11_11_15_15_33    351,-986,550,370,491,672,506,1,147,105,2,0,3,787,559,2,331,495,0.0,1,0
2014_11_11_15_15_33    351,-986,550,370,491,672,506,1,147,105,2,0,3,787,559,2,331,495,0.0,1,0
2014_11_11_15_15_34    352,-1041,551,370,496,671,505,2,151,89,0,3,2,789,565,3,326,492,0.0,1,0
2014_11_11_15_15_34    339,-992,539,370,497,671,506,2,151,85,1,2,1,787,558,1,317,489,0.0,1,0
