date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_16_31    344,-1022,496,344,405,641,543,2,268,75,2,2,2,814,596,1,279,767,0.0,1,0
2014_11_11_15_16_31    311,-1000,512,345,415,654,543,2,253,98,2,2,2,812,601,2,307,767,0.0,1,0
2014_11_11_15_16_31    337,-1101,503,350,446,656,540,2,288,109,6,2,2,809,602,2,316,768,0.0,1,0
2014_11_11_15_16_31    328,-1024,465,350,434,657,545,1,306,108,2,2,2,806,603,0,334,770,0.0,1,0
2014_11_11_15_16_31    396,-1100,496,353,438,661,544,1,302,105,2,1,1,805,607,2,336,769,0.0,1,0
2014_11_11_15_16_31    382,-1044,492,352,430,662,543,2,299,109,2,2,2,808,598,1,434,771,0.0,1,0
2014_11_11_15_16_31    350,-1000,487,373,426,655,546,2,306,103,2,1,2,817,604,2,488,771,0.0,1,0
2014_11_11_15_16_31    380,-1007,463,380,423,657,545,2,306,97,2,1,2,821,610,2,528,771,0.0,1,0
2014_11_11_15_16_32    368,-1046,495,391,421,659,546,1,311,102,1,2,2,822,605,2,514,779,0.0,1,0
2014_11_11_15_16_32    347,-981,504,393,420,676,548,2,307,96,1,3,2,823,604,1,522,780,0.0,1,0
2014_11_11_15_16_32    370,-997,496,395,419,669,545,1,307,96,0,1,2,831,596,3,506,783,0.0,1,0
2014_11_11_15_16_32    384,-1060,547,402,430,688,545,1,301,115,1,1,1,820,600,2,538,785,0.0,1,0
2014_11_11_15_16_32    380,-1015,500,401,444,682,546,1,321,117,4,2,2,826,605,2,577,786,0.0,1,0
2014_11_11_15_16_32    380,-1015,500,401,444,682,546,1,321,117,4,2,2,826,605,2,577,786,0.0,1,0
2014_11_11_15_16_32    396,-1045,507,398,438,682,545,1,320,113,2,1,2,827,604,1,588,788,0.0,1,0
2014_11_11_15_16_32    368,-1021,495,396,437,672,547,2,320,96,2,2,0,827,596,3,572,785,0.0,1,0
2014_11_11_15_16_32    371,-1032,531,398,433,670,546,2,321,99,1,2,2,826,594,1,514,785,0.0,1,0
