date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_18_38    327,-1049,483,330,384,659,585,2,223,2,1,1,2,723,452,4,682,760,0.0,0,1
2014_11_11_15_18_38    359,-1025,494,348,391,661,586,2,223,2,2,1,1,719,504,2,682,761,0.0,0,1
2014_11_11_15_18_38    350,-993,536,350,368,659,585,1,217,2,1,1,2,719,436,2,681,760,0.0,0,1
2014_11_11_15_18_39    310,-1008,536,355,440,661,585,2,214,20,3,1,2,722,448,1,670,761,0.0,0,1
2014_11_11_15_18_39    311,-1040,545,358,469,662,588,2,133,104,2,1,2,724,446,4,661,761,0.0,0,1
2014_11_11_15_18_39    319,-1036,536,363,421,664,601,2,348,116,5,2,1,731,562,1,658,763,0.0,0,1
2014_11_11_15_18_39    303,-1047,540,347,432,665,658,1,378,109,1,2,1,731,428,4,659,764,0.0,0,1
2014_11_11_15_18_39    332,-1057,540,349,432,665,664,1,352,121,3,3,3,735,430,3,663,763,0.0,0,1
2014_11_11_15_18_39    354,-1061,560,350,439,668,679,4,374,119,2,2,2,732,428,1,668,764,0.0,0,1
2014_11_11_15_18_39    358,-1053,568,344,395,665,668,3,332,140,2,1,2,724,422,1,666,764,0.0,0,1
2014_11_11_15_18_39    353,-1025,551,343,444,665,671,2,314,130,1,2,2,739,395,2,673,783,0.0,0,1
2014_11_11_15_18_39    353,-1025,551,343,444,665,671,2,314,130,1,2,2,739,395,2,673,783,0.0,3,0
2014_11_11_15_18_39    352,-1008,515,339,461,663,653,2,316,127,2,2,2,730,391,1,670,783,0.0,3,0
2014_11_11_15_18_39    368,-1017,577,338,480,654,635,2,135,146,2,1,3,735,385,2,676,785,0.0,3,0
2014_11_11_15_18_39    335,-1005,557,337,513,657,586,2,61,130,1,2,1,742,355,2,676,773,0.0,3,0
2014_11_11_15_18_39    339,-995,577,339,419,648,671,2,60,141,0,0,9,736,376,1,678,773,0.0,3,0
2014_11_11_15_18_39    351,-1024,548,346,428,647,685,1,178,135,9,1,2,739,384,2,681,790,0.0,3,0
2014_11_11_15_18_39    339,-975,548,365,414,660,693,2,397,138,1,3,2,738,575,320,691,796,0.0,3,0
2014_11_11_15_18_39    352,-1021,547,351,436,654,692,2,388,130,2,2,2,742,596,394,698,797,0.0,3,0
2014_11_11_15_18_39    316,-989,553,346,495,662,704,2,393,187,384,2,1,751,598,482,698,787,0.0,3,0
2014_11_11_15_18_39    320,-985,556,359,554,668,700,2,430,258,391,4,2,756,630,420,702,786,0.0,1,0
2014_11_11_15_18_39    355,-1015,507,357,557,668,700,2,430,269,391,2,1,765,654,433,705,785,0.0,1,0
2014_11_11_15_18_39    340,-1009,495,355,540,668,699,0,428,274,393,1,4,763,655,416,690,795,0.0,1,0
2014_11_11_15_18_40    311,-985,555,355,566,664,700,1,428,184,377,3,2,783,654,406,687,781,0.0,1,0
2014_11_11_15_18_40    376,-1096,571,358,560,678,702,2,391,147,2,1,0,783,631,399,682,786,0.0,1,0
2014_11_11_15_18_40    348,-1053,579,358,564,678,701,3,412,158,2,1,2,780,603,396,688,786,0.0,1,0
2014_11_11_15_18_40    305,-1018,551,357,564,679,703,3,423,153,2,1,1,759,597,497,694,797,0.0,1,0
2014_11_11_15_18_40    336,-1001,579,358,544,681,700,1,429,185,2,2,2,741,622,495,701,801,0.0,1,0
2014_11_11_15_18_40    303,-1010,535,359,552,686,702,2,435,162,2,2,1,737,623,461,701,803,0.0,1,0
2014_11_11_15_18_40    335,-1016,543,351,552,686,693,2,430,176,1,2,2,717,543,434,703,802,0.0,1,0
2014_11_11_15_18_40    359,-1052,534,359,473,685,694,2,427,166,2,1,1,721,495,427,700,804,0.0,1,0
2014_11_11_15_18_40    348,-1017,563,372,472,685,697,2,422,153,2,1,2,729,479,425,702,795,0.0,1,0
2014_11_11_15_18_40    359,-1025,515,372,461,693,693,4,397,169,1,2,1,722,423,423,702,804,0.0,1,0
2014_11_11_15_18_40    359,-928,560,366,377,681,685,2,396,178,0,2,1,718,427,420,704,805,0.0,1,0
2014_11_11_15_18_40    367,-974,566,352,428,670,609,2,391,147,1,1,2,711,410,418,701,805,0.0,1,0
2014_11_11_15_18_40    359,-969,569,351,420,667,672,1,347,139,1,2,2,711,411,415,710,806,0.0,1,0
2014_11_11_15_18_40    327,-1025,608,360,353,670,702,2,408,152,2,1,2,710,454,501,714,809,0.0,1,0
2014_11_11_15_18_40    327,-1025,608,360,353,670,702,2,408,152,2,1,2,710,454,501,714,809,0.0,1,0
2014_11_11_15_18_40    364,-988,491,384,507,681,709,2,429,152,1,1,2,716,539,586,763,811,0.0,1,0
2014_11_11_15_18_40    355,-969,568,390,522,669,712,1,426,172,0,3,2,718,592,578,765,811,0.0,1,0
2014_11_11_15_18_40    319,-989,615,386,510,664,713,3,429,167,1,2,1,717,614,576,772,813,0.0,1,0
2014_11_11_15_18_40    323,-903,688,387,520,667,706,2,432,163,1,1,2,715,500,570,775,817,0.0,1,0
2014_11_11_15_18_40    408,-1073,496,378,529,673,706,2,436,158,2,4,2,714,516,571,781,805,0.0,1,0
2014_11_11_15_18_41    380,-1012,499,379,508,663,704,1,435,165,1,2,0,711,448,567,781,802,0.0,1,0
2014_11_11_15_18_41    318,-961,543,373,509,655,703,2,435,163,2,1,2,721,438,564,781,801,0.0,1,0
2014_11_11_15_18_41    345,-991,633,372,549,662,692,1,434,172,2,0,1,728,475,561,788,803,0.0,1,0
2014_11_11_15_18_41    339,-981,519,373,553,661,691,1,434,168,2,3,1,727,439,558,796,803,0.0,1,0
2014_11_11_15_18_41    352,-983,537,378,568,665,696,2,435,172,1,2,2,725,448,555,803,801,0.0,1,0
